"Fecha","Precio"
"01/12/2025","92.181"
"01/11/2025","90.374"
"01/10/2025","109.603"
"01/09/2025","114.049"
"01/08/2025","108.227"
"01/07/2025","115.765"
"01/06/2025","107.171"
"01/05/2025","104.598"
"01/04/2025","94.184"
"01/03/2025","82.549"
"01/02/2025","84.381"
"01/01/2025","94.536"
"01/12/2024","93.557"
"01/11/2024","96.406"
"01/10/2024","70.282"
"01/09/2024","63.339"
"01/08/2024","58.979"
"01/07/2024","64.626"
"01/06/2024","62.754"
"01/05/2024","67.530"
"01/04/2024","60.667"
"01/03/2024","71.332"
"01/02/2024","61.169"
"01/01/2024","42.581"
